StartDate	EndDate	Subject	Experiment	Group	Box	StartTime	StartDateTime	EndTime	MSN	Genotype	Day	Animal
2022-05-14	2022-05-14	EN#28_1220	20220514	10	1	15:16:00	2022-05-14 15:16:00	17:12:56	CRF	MT	Day2	EN#28
2022-05-14	2022-05-14	EN#50_1224	20220514	10	4	16:38:19	2022-05-14 16:38:19	18:08:22	CRF	MT	Day2	EN#50
2022-11-04	2022-11-04	1_EN#68-0630	20221104	1	3	06:09:20	2022-11-04 06:09:20	07:43:01	CRF	MT	Day2	EN#68
2022-11-04	2022-11-04	1_EN#71-0630	20221104	1	2	06:09:15	2022-11-04 06:09:15	06:56:57	CRF	MT	Day2	EN#71
2022-11-04	2022-11-04	2_EN#50-0710	20221104	2	2	07:05:12	2022-11-04 07:05:12	07:42:41	CRF	MT	Day2	EN#50
2022-11-04	2022-11-04	2_EN#81-0824	20221104	2	3	07:48:24	2022-11-04 07:48:24	08:34:09	CRF	MT	Day2	EN#81
2022-11-04	2022-11-04	3_EN#46-0710	20221104	3	1	08:57:20	2022-11-04 08:57:20	10:29:16	CRF	MT	Day2	EN#46
2022-11-04	2022-11-04	3_EN#57-0709	20221104	3	4	09:01:23	2022-11-04 09:01:23	10:01:04	CRF	MT	Day2	EN#57
2022-11-04	2022-11-04	4_EN#48-0802	20221104	4	2	09:12:27	2022-11-04 09:12:27	10:48:31	CRF	MT	Day2	EN#48
2022-11-04	2022-11-04	4_EN#71-0816	20221104	4	4	10:05:32	2022-11-04 10:05:32	11:40:04	CRF	MT	Day2	EN#71
2022-11-04	2022-11-04	5_EN#50-0802	20221104	5	2	11:03:19	2022-11-04 11:03:19	12:31:02	CRF	MT	Day2	EN#50
2022-11-04	2022-11-04	5_EN#51-0802	20221104	5	3	11:24:16	2022-11-04 11:24:16	12:58:05	CRF	MT	Day2	EN#51
2022-11-04	2022-11-04	6_EN#62-0823	20221104	6	4	12:37:39	2022-11-04 12:37:39	13:29:37	CRF	MT	Day2	EN#62
2022-11-04	2022-11-04	6_EN#58-0709	20221104	6	1	13:56:10	2022-11-04 13:56:10	14:28:20	CRF	MT	Day2	EN#58
2022-11-04	2022-11-04	7_EN#59-0709	20221104	7	1	14:34:45	2022-11-04 14:34:45	15:13:28	CRF	MT	Day2	EN#59
2022-11-04	2022-11-04	7_EN#89-0902	20221104	7	3	14:49:26	2022-11-04 14:49:26	15:33:50	CRF	MT	Day2	EN#89
2023-03-02	2023-03-02	1_EN#29-1012	20230302	1	3	06:13:11	2023-03-02 06:13:11	06:50:38	CRFv2023	MT	Day2	EN#29
